Country,Year,ISO3166_alpha3,aggregate,biofuels_cons_ej,biogeo_ej,co2_mtco2,coalcons_ej,gascons_ej,hydro_ej,nuclear_ej,oilcons_ej,pop,primary_ej,primary_ej_pc,ren_power_ej,solar_ej,wind_ej,co2_em_pc
Africa,1965,T-AFR,1,,,,1.164586157,0.034458946,0.148027731,0.0,1.231681402,321.446988,2.578754237,8.022331311,0.0,,0.0,
Africa,1966,T-AFR,1,,,,1.163239937,0.038513129,0.165106496,0.0,1.333620025,329.658038,2.700479586,8.191760172,0.0,,0.0,
Africa,1967,T-AFR,1,,,,1.189049672,0.038065841,0.172351937,0.0,1.329096731,338.159593,2.728564181,8.068865227,0.0,,0.0,
Africa,1968,T-AFR,1,,,,1.23664646,0.038581721,0.201601691,0.0,1.405316524,346.980005,2.882146396,8.30637603,0.0,,0.0,
Africa,1969,T-AFR,1,,,,1.247914465,0.04507263,0.235267536,0.0,1.433351759,356.070249,2.96160639,8.317477797,0.0,,0.0,
Africa,1970,T-AFR,1,,,,1.298724852,0.055974601,0.294130384,0.0,1.566097441,365.450108,3.214927278,8.79717151,0.0,,0.0,
Africa,1971,T-AFR,1,,0.001884677,,1.378844297,0.066258949,0.276916743,0.0,1.707499436,375.085858,3.431404102,9.148316388,0.001884677,0.0,0.0,
Africa,1972,T-AFR,1,,0.001896169,,1.383158894,0.088814367,0.315450156,0.0,1.838626638,384.930394,3.627946224,9.424940926,0.001896169,0.0,0.0,
Africa,1973,T-AFR,1,,0.001953629,,1.472077212,0.142386446,0.333680114,0.0,1.979294447,395.212023,3.929391849,9.942490664,0.001953629,0.0,0.0,
Africa,1974,T-AFR,1,,0.002011089,,1.532326363,0.160266554,0.379681756,0.0,2.051058706,406.068833,4.125344467,10.15922457,0.002011089,0.0,0.0,
Africa,1975,T-AFR,1,,0.001976613,,1.623889757,0.19309816,0.401513877,0.0,2.151615833,417.556633,4.37209424,10.47066169,0.001976613,0.0,0.0,
Africa,1976,T-AFR,1,,0.002126008,,1.73186698,0.219533006,0.444942544,0.0,2.349306779,429.572937,4.747775318,11.05231477,0.002126008,0.0,0.0,
Africa,1977,T-AFR,1,,0.002171976,,1.770114455,0.245643091,0.488919143,0.0,2.502702709,441.70141,5.009551375,11.3414883,0.002171976,0.0,0.0,
Africa,1978,T-AFR,1,,0.002240927,,1.720136156,0.350531639,0.49294484,0.0,2.636517753,454.462675,5.202371315,11.44730162,0.002240927,0.0,0.0,
Africa,1979,T-AFR,1,,0.002309879,,1.8260892,0.535834138,0.527629902,0.0,2.776228841,467.975884,5.66809196,12.11193173,0.002309879,0.0,0.0,
Africa,1980,T-AFR,1,,0.002378831,,1.956805417,0.672890313,0.514286739,0.0,2.945356438,481.542777,6.091717737,12.65041867,0.002378831,0.0,0.0,
Africa,1981,T-AFR,1,,0.002505242,,2.288875633,0.822568141,0.534311578,0.0,3.187773619,495.655341,6.836034213,13.79191072,0.002505242,0.0,0.0,
Africa,1982,T-AFR,1,,0.002712097,,2.524233088,0.888240772,0.53445349,0.0,3.335515115,510.540227,7.285154562,14.26950155,0.002712097,0.0,0.0,
Africa,1983,T-AFR,1,,0.002643145,,2.567685819,0.976591279,0.481663316,0.0,3.47293524,525.33503,7.5015188,14.27949474,0.002643145,0.0,0.0,
Africa,1984,T-AFR,1,,0.002689113,,2.746432353,0.935650039,0.47360294,0.040094085,3.535330423,540.182779,7.733798952,14.3170039,0.002689113,0.0,0.0,
Africa,1985,T-AFR,1,,0.003091331,,2.833797152,1.003833891,0.526399866,0.05429301,3.626366847,555.65263,8.047782097,14.48347702,0.003091331,0.0,0.0,
Africa,1986,T-AFR,1,,0.007103293,,2.899281846,1.127776314,0.544450752,0.089923121,3.544042973,571.646426,8.212578299,14.36653485,0.007103293,0.0,0.0,
Africa,1987,T-AFR,1,,0.007103293,,2.98195106,1.164183708,0.522213929,0.062996238,3.73881641,588.079701,8.477264639,14.41516282,0.007103293,0.0,0.0,
Africa,1988,T-AFR,1,,0.006781519,,3.204578858,1.290400358,0.570510984,0.107186556,3.894448353,604.511225,9.073906628,15.0103195,0.006781519,0.0,0.0,
Africa,1989,T-AFR,1,,0.006678091,,3.00823514,1.337295786,0.599069379,0.113376878,4.02320064,621.167639,9.087855914,14.63027908,0.006678091,0.0,0.0,
Africa,1990,T-AFR,1,0.0,0.008843363,954.211779,3.159641664,1.435123392,0.609485076,0.086306989,4.089453419,638.157237,9.388853903,14.71244602,0.008843363,0.0,0.0,1.4952612360643025
